"软件架构设计"	"<p>软件架构设计</p>"	"<p>什么是架构</p><p>计算机功底</p><p>技术架构之道</p><p>业务架构之道</p><p>从架构到技术管理</p>"	"软件架构设计"
"6.4"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;数据库</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;事务与锁</p>"	"<p>事务的四个隔离级别</p><p>悲观锁和乐观锁</p><p>死锁检测</p>"	"软件架构设计"
"6.5"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;数据库</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;事务实现原理之1：Redo Log</p>"	"<p>Write-Ahead</p><p>Redo Log的逻辑与物理结构</p><p>Physiological Logging</p><p>I/O写入的原子性（Double Write）</p><p>Redo Log Black结构</p><p>事务、LSN与Log Block的关系</p><p>事务Rollback与奔溃恢复（ARIES算法）</p>"	"软件架构设计"
"6.6"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;数据库</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;事务实现原理之2：Undo Log</p>"	"<p>Undo Log是否一定需要</p><p>Undo Log（MVCC）</p><p>Undo Log不是Log</p><p>Undo Log与Redo Log的关联</p><p>各种锁</p>"	"软件架构设计"
"6.7"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;数据库</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Binlog与主从复制</p>"	"<p>Binlog与主从复制</p><p>内部XA-Binlog与Redo Log一致性问题</p><p>三种主从复制方式</p><p>并行复制</p>"	"软件架构设计"
"7"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;框架、软件与中间件</p>"	"<p>对生态体系的认识</p><p>框架</p><p>软件与中间件</p>"	"软件架构设计"
"3"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;技术架构之道</p>"	"<p>高并发问题</p><p>高可用与稳定性</p><p>事务一致性</p><p>多副本一致性</p><p>CAP理论</p>"	"软件架构设计"
"8"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;技术架构之道</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;高并发问题</p>"	"<p>问题分类</p><p>高并发读</p><p>高并发写</p><p>容量规划</p>"	"软件架构设计"
"9"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;技术架构之道</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;高可用与稳定性</p>"	"<p>多副本</p><p>隔离、限流、熔断和降级</p><p>灰度发布与回滚</p><p>监控体系与日志报警</p>"	"软件架构设计"
"10"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;技术架构之道</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;事务一致性</p>"	"<p>随处可见的分布式事务问题</p><p>分布式事务解决方案汇总</p>"	"软件架构设计"
"11"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;技术架构之道</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;多副本一致性</p>"	"<p>高可用和强一致性到底有多难</p><p>Paxos算法解析</p><p>Raft算法解析</p><p>Zab算法解析</p><p>三种算法对比</p>"	"软件架构设计"
"12"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;技术架构之道</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;CAP理论</p>"	"<p>CAP理论的误解</p><p>现实世界不存在“强一致性”（PACELC理论）</p><p>典型案例：分布式锁</p>"	"软件架构设计"
"4"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;业务架构之道</p>"	"<p>业务意识</p><p>业务架构思维</p><p>技术架构与业务架构的融合</p>"	"软件架构设计"
"13"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;业务架构之道</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;业务意识</p>"	"<p>产品经理vs.需求分析师</p><p>什么叫做一个“业务”</p><p>“业务架构”的双重含义</p><p>“业务架构”与“技术架构”的区分</p>"	"软件架构设计"
"14"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;业务架构之道</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;业务架构思维</p>"	"<p>“伪”分层</p><p>边界思维</p><p>系统化思维</p><p>利益相关者分析</p><p>非功能性需求分析（以终为始）</p><p>视角（横看成岭侧成峰）</p><p>抽象</p><p>建模</p><p>正交分解</p>"	"软件架构设计"
"15"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;业务架构之道</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;技术架构与业务架构的融合</p>"	"<p>各种各样的方法论</p><p>为什么要“领域驱动”</p><p>“业务流程”不等于“系统流程”</p><p>为何很难设计一个好的领域模型</p><p>领域驱动设计与微服务架构的“合”</p><p>领域驱动设计与读写分离（CQRS）</p><p>业务分层架构模式</p><p>管道—过滤器架构模式</p><p>状态机架构模式</p><p>业务切面/业务闭环架构模式</p>"	"软件架构设计"
"5"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;从架构到技术管理</p>"	"<p>个人素质的提升</p><p>团队能力的提升</p>"	"软件架构设计"
"16"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;从架构到技术管理</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;个人素质的提升</p>"	"<p>能力模型</p><p>影响力的塑造</p>"	"软件架构设计"
"17"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;从架构到技术管理</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;团队能力的提升</p>"	"<p>不确定性与风险把控</p><p>以价值为中心的管理</p><p>团队培养</p>"	"软件架构设计"
